ID,BackToBack,Home,Team1OffenseRanking,Team1DefenseRanking,Team2OffenseRanking,Team2DefenseRanking,Team1LastNRecord,Team2LastNRecord,ConsensusSpread,ConsensusTotal
03-19-2017 => DAL @ BKN,-10.00,-10.00,0.60,8.05,3.51,4.95,0.60,0.40,6.43,8.58
03-19-2017 => BKN vs DAL,-10.00,10.00,3.51,4.95,0.60,8.05,0.40,0.60,3.58,8.58
03-19-2017 => BOS @ PHI,-10.00,-10.00,2.23,8.61,2.72,5.34,0.60,0.30,6.43,8.37
03-19-2017 => PHI vs BOS,-10.00,10.00,2.72,5.34,2.23,8.61,0.30,0.60,3.58,8.37
03-19-2017 => PHO @ DET,-10.00,-10.00,3.96,5.34,0.91,7.67,0.40,0.50,1.58,8.66
03-19-2017 => DET vs PHO,-10.00,10.00,0.91,7.67,3.96,5.34,0.50,0.40,8.43,8.66
03-19-2017 => MIN @ NOP,-10.00,-10.00,1.99,8.57,2.51,8.82,0.50,0.50,4.01,8.62
03-19-2017 => NOP vs MIN,-10.00,10.00,2.51,8.82,1.99,8.57,0.50,0.50,6.00,8.62
03-19-2017 => IND @ TOR,-10.00,-10.00,0.25,10.00,0.01,9.27,0.50,0.50,4.29,8.12
03-19-2017 => TOR vs IND,-10.00,10.00,0.01,9.27,0.25,10.00,0.50,0.50,5.72,8.12
03-19-2017 => POR @ MIA,10.00,-10.00,4.97,5.82,4.45,8.47,0.70,0.70,3.44,8.80
03-19-2017 => MIA vs POR,-10.00,10.00,4.45,8.47,4.97,5.82,0.70,0.70,6.57,8.80
03-19-2017 => SAC @ SAS,10.00,-10.00,2.40,5.16,1.99,8.64,0.20,0.70,1.01,8.37
03-19-2017 => SAS vs SAC,10.00,10.00,1.99,8.64,2.40,5.16,0.70,0.20,9.00,8.37
03-19-2017 => CLE @ LAL,10.00,-10.00,2.65,6.28,2.58,3.35,0.40,0.10,8.29,9.17
03-19-2017 => LAL vs CLE,-10.00,10.00,2.58,3.35,2.65,6.28,0.10,0.40,1.72,9.17
