ID,BackToBack,Home,Team1OffenseRanking,Team1DefenseRanking,Team2OffenseRanking,Team2DefenseRanking,ConsensusSpread,ConsensusTotal,AgainstTheSpread,AgainstTheTotal
11-22-2013 => PHO @ CHA,-10.00,-10.00,4.80,5.02,0.40,7.45,4.00,7.87,10.00,4.46
11-22-2013 => CHA vs PHO,-10.00,10.00,0.40,7.45,4.80,5.02,6.00,7.87,0.01,4.46
11-22-2013 => MIL @ PHI,-10.00,-10.00,0.36,5.52,5.55,0.01,4.14,8.32,1.43,10.00
11-22-2013 => PHI vs MIL,-10.00,10.00,5.55,0.01,0.36,5.52,5.86,8.32,8.57,10.00
11-22-2013 => WAS @ TOR,-10.00,-10.00,5.02,3.85,4.41,5.61,3.72,8.01,2.50,1.43
11-22-2013 => TOR vs WAS,-10.00,10.00,4.41,5.61,5.02,3.85,6.28,8.01,7.50,1.43
11-22-2013 => IND @ BOS,-10.00,-10.00,3.39,10.00,2.91,4.52,7.14,7.68,10.00,2.50
11-22-2013 => BOS vs IND,-10.00,10.00,2.91,4.52,3.39,10.00,2.86,7.68,0.01,2.50
11-22-2013 => ATL @ DET,-10.00,-10.00,5.77,5.52,3.57,4.18,4.00,8.14,10.00,0.72
11-22-2013 => DET vs ATL,-10.00,10.00,3.57,4.18,5.77,5.52,6.00,8.14,0.01,0.72
11-22-2013 => SAS @ MEM,-10.00,-10.00,4.54,9.16,2.03,7.11,5.29,7.60,10.00,6.43
11-22-2013 => MEM vs SAS,-10.00,10.00,2.03,7.11,4.54,9.16,4.71,7.60,0.01,6.43
11-22-2013 => BKN @ MIN,-10.00,-10.00,3.61,3.77,7.75,4.14,2.43,8.34,0.01,1.43
11-22-2013 => MIN vs BKN,-10.00,10.00,7.75,4.14,3.61,3.77,7.57,8.34,10.00,1.43
11-22-2013 => CLE @ NOP,-10.00,-10.00,1.81,4.27,5.99,5.02,3.14,8.08,6.78,8.03
11-22-2013 => NOP vs CLE,-10.00,10.00,5.99,5.02,1.81,4.27,6.86,8.08,3.22,8.03
11-22-2013 => UTA @ DAL,-10.00,-10.00,0.01,4.06,7.79,3.47,2.00,8.34,5.36,2.86
11-22-2013 => DAL vs UTA,-10.00,10.00,7.79,3.47,0.01,4.06,8.00,8.34,4.64,2.86
11-22-2013 => CHI @ POR,10.00,-10.00,2.07,8.91,6.83,5.69,3.86,7.85,5.71,6.07
11-22-2013 => POR vs CHI,-10.00,10.00,6.83,5.69,2.07,8.91,6.14,7.85,4.29,6.07
11-22-2013 => GSW @ LAL,-10.00,-10.00,4.49,7.70,4.27,3.89,6.43,8.36,0.01,3.04
11-22-2013 => LAL vs GSW,-10.00,10.00,4.27,3.89,4.49,7.70,3.57,8.36,10.00,3.04
11-23-2013 => SAC @ LAC,-10.00,-10.00,3.42,4.30,7.43,3.03,1.86,8.57,10.00,4.11
11-23-2013 => LAC vs SAC,-10.00,10.00,7.43,3.03,3.42,4.30,8.14,8.57,0.01,4.11
11-23-2013 => PHI @ IND,10.00,-10.00,6.58,0.01,3.33,10.00,0.72,8.05,10.00,8.21
11-23-2013 => IND vs PHI,10.00,10.00,3.33,10.00,6.58,0.01,9.28,8.05,0.01,8.21
